root	mode	first_line	verdict
testdir:fixedbugs/issue71225.go	interpreted	test/fixedbugs/issue71225.go:12:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint162/barrier-c/evidence/goroot/bin/go (GOROOT=/srv/sprint162/barrier-c/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue71225.go	compiled	test/fixedbugs/issue71225.go:12:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint162/barrier-c/evidence/goroot/bin/go (GOROOT=/srv/sprint162/barrier-c/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue71226.go	interpreted	test/fixedbugs/issue71226.go:20:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint162/barrier-c/evidence/goroot/bin/go (GOROOT=/srv/sprint162/barrier-c/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue71226.go	compiled	test/fixedbugs/issue71226.go:20:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint162/barrier-c/evidence/goroot/bin/go (GOROOT=/srv/sprint162/barrier-c/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue74648.go	interpreted	Bash++ backend unsupported execute phase: module package issue74648.dir has non-Go inputs [a.s]	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue74648.go	compiled	Bash++ backend unsupported execute phase: module package issue74648.dir has non-Go inputs [a.s]	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue7794.go	compiled	test/fixedbugs/issue7794.go:10:2: LOWER-ETYPE: declared and not used: a	missing=0;wording=0;extra=0;class=-
testdir:interface/embed3.go	interpreted	panic: want 'interface conversion: main.X1 is not p.I1: missing method Foo', got 'interface conversion: main.X1 is not main.__gosource_pkg_0_I1: missing method '	missing=0;wording=0;extra=0;class=-
testdir:interface/embed3.go	compiled	panic: interface conversion: main.X1 is not main.__gosource_pkg_0_I1: missing method Foo [recovered]	missing=0;wording=0;extra=0;class=-
testdir:linkname.go	interpreted	linkname1.go:3: missing error "xs does not escape"	missing=2;wording=0;extra=0;class=missing
testdir:linkname.go	compiled	test/linkname.dir/linkname2.go:8:6: can inline __gosource_pkg_1_ContainsSlash	missing=0;wording=1;extra=1;class=wording
testdir:linkname3.go	interpreted	compilation succeeded unexpectedly	missing=0;wording=0;extra=0;class=-
testdir:linkname3.go	compiled	compilation succeeded unexpectedly	missing=0;wording=0;extra=0;class=-
testdir:linknameasm.go	interpreted	Bash++ backend unsupported generate phase: compile input "/srv/sprint162/barrier-c/evidence/goroot/test/linknameasm.dir/a_amd64.s" is not a Go source file	missing=0;wording=0;extra=0;class=-
testdir:linknameasm.go	compiled	Bash++ backend unsupported generate phase: compile input "/srv/sprint162/barrier-c/evidence/goroot/test/linknameasm.dir/a_amd64.s" is not a Go source file	missing=0;wording=0;extra=0;class=-
testdir:live_regabi.go	interpreted	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning	missing=0;wording=0;extra=0;class=-
testdir:live_regabi.go	compiled	test/live_regabi.go:642:8: gosource: unsupported compound simple statement	missing=0;wording=0;extra=0;class=-
testdir:nilptr3.go	interpreted	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning	missing=0;wording=0;extra=0;class=-
testdir:nilptr3.go	compiled	test/nilptr3.go:253: generated nil check	missing=1;wording=0;extra=0;class=missing
testdir:prove.go	interpreted	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning	missing=0;wording=0;extra=0;class=-
testdir:prove.go	compiled	test/prove.go:2867: Proved Leq64U	missing=11;wording=0;extra=2;class=position
testdir:retjmp.go	interpreted	Bash++ backend unsupported generate phase: compile input "/srv/sprint162/barrier-c/evidence/goroot/test/retjmp.dir/a.s" is not a Go source file	missing=0;wording=0;extra=0;class=-
testdir:retjmp.go	compiled	Bash++ backend unsupported generate phase: compile input "/srv/sprint162/barrier-c/evidence/goroot/test/retjmp.dir/a.s" is not a Go source file	missing=0;wording=0;extra=0;class=-
testdir:shift3.go	interpreted	shift3.go:27:2: shift3.go:27:4: BASHPP-EEXPR-SHIFT: shift count must be an unsigned integer	missing=0;wording=0;extra=0;class=-
testdir:shift3.go	compiled	shift3.go:13:1: LOWER-ETYPE: "math" imported and not used	missing=0;wording=0;extra=0;class=-
